Unnamed: 0,date,time,tweet,tweet_translated,tweet_traducido,etiqueta_sentimiento,score_sentimiento
182,2023-02-28,,maravilla servicio eficiente app primera altamente recomendable,Wonder Efficient SERVICE APP first highly recommended,Wonder Efficient SERVICE APP first highly recommended,Positive,0.95669305
183,2023-02-28,,ay mia diseno super cool,Ay Mia distinct super cool,Ay Mia distinct super cool,Positive,0.96117437
184,2023-03-01,,animense casi ano tarjeta credito heygarantizada problemas incluyendo extranjero,Anime almost anus Card HeyGarantized Credit Problems including foreigner,Anime almost anus Card HeyGarantized Credit Problems including foreigner,Neutral,0.49990484
185,2023-03-02,,gracias segun recuerdo habia hecho activar volvere hacerlo tdd tdc gracias,Thanks according to memory I had activated it again.,Thanks according to memory I had activated it again.,Positive,0.5034618
186,2023-03-02,,mucho exito heybanco,HEYBANCO SUCCESS,HEYBANCO SUCCESS,Positive,0.6645554
187,2023-03-02,,recomendadisimas yotepresto 100ladrillos hechoenjalisco,Recommendedisimas Yotepresso 100Ladrillos Hechoenjalisco,Recommendedisimas Yotepresso 100Ladrillos Hechoenjalisco,Neutral,0.872149
188,2023-03-03,,muchas gracias respuesta indicaron logre hacer movimiento requeria,"Thank you very much response, I indicated I manage to make movement required","Thank you very much response, I indicated I manage to make movement required",Positive,0.93885213
189,2023-03-03,,manifiestosparkles hoy sali enmoradisima subi casi voy dar vuelta hermosisimo carro haganme buenaheartonfirefoldedhandstwohearts,Manifesto sparkles today salt I am in love I go up almost I will turn beautiful car do me bueheartonfirefoldedhandstwohearts,Manifesto sparkles today salt I am in love I go up almost I will turn beautiful car do me bueheartonfirefoldedhandstwohearts,Positive,0.9588726
190,2023-03-03,,resolvio actualizacion app gracias tambien sirvio dm,I resolved update app thanks also served dm,I resolved update app thanks also served dm,Positive,0.70958924
191,2023-03-03,,ustedes banco verdad estan haciendo muy bien,You are really doing very well,You are really doing very well,Positive,0.9632126
192,2023-03-03,,definitivamentebackhandindexpointingupmediumskintone,definitivamentebackhandindexpointingupmediumskintone,definitivamentebackhandindexpointingupmediumskintone,Neutral,0.8491342
193,2023-03-04,,gracias secuestrar plata ahorro manfacepalmingbitcoin fixes this literalmente salva facewithrollingeyes,Thanks kidnapping silver savings Man Facepalming Bitcoin Fixes This literally saves facewithrollingeyes,Thanks kidnapping silver savings Man Facepalming Bitcoin Fixes This literally saves facewithrollingeyes,Positive,0.8974868
194,2023-03-04,,gracias transferencia aplicada siguiente,Thanks next applied transfer,Thanks next applied transfer,Neutral,0.70299774
195,2023-03-06,,gracias resolvi equivoque,Thanks Resolvi mistake,Thanks Resolvi mistake,Neutral,0.4863319
196,2023-03-06,,quedo aclarado tema gracias,I am clarified theme thanks,I am clarified theme thanks,Positive,0.646729
197,2023-03-07,,bank run,bank run,bank run,Neutral,0.62456197
198,2023-03-07,,respondi privado,I answered private,I answered private,Neutral,0.7986675
199,2023-03-07,,bueno saberlo,good to know,good to know,Positive,0.91129184
200,2023-03-08,,gracias informacion foldedhands,Thanks Foldedhands Information,Thanks Foldedhands Information,Positive,0.5319113
201,2023-03-08,,gracias,gracias,gracias,Neutral,0.6270798
202,2023-03-08,,listo,List,List,Neutral,0.55480534
203,2023-03-08,,da bienvenida tarjeta metal aun beneficios adicionales meltingface,Welcome metal card even additional benefits melting face,Welcome metal card even additional benefits melting face,Positive,0.81538475
204,2023-03-08,,cayo app sido buena experiencia ustedes fallen necesita,Cayo app has been good experience you fail,Cayo app has been good experience you fail,Positive,0.7581385
205,2023-03-08,,verdad menos tedioso proceso hablar alguien agrada mucho experiencia,truth less tedious process to speak someone pleases a lot of experience,truth less tedious process to speak someone pleases a lot of experience,Positive,0.52658314
206,2023-03-09,,gracias conteste,Thanks answer,Thanks answer,Positive,0.5606181
207,2023-03-09,,ayuda,aid,aid,Neutral,0.5711734
208,2023-03-09,,si gracias volvi contestar hace par horas,"If thanks, I will answer for hours ago","If thanks, I will answer for hours ago",Neutral,0.6216327
209,2023-03-09,,mas rapido marcar hacer caa hechos ponia datos queria cambiar hicieron fin pude instalar token chico atendio super bueno amable llama christhian hernandez redheart,faster mark making fact,faster mark making fact,Neutral,0.76137996
210,2023-03-10,,avisan si van quiebra sacar dinero inversion 7 porfas muchas gracias antemano amo sparklesheartonfire,warn if they go bankrupt to get money investment 7 please thank you beforehand I love sparklesheartonfire,warn if they go bankrupt to get money investment 7 please thank you beforehand I love sparklesheartonfire,Positive,0.691624
211,2023-03-11,,yeah mejores pesar veto,Yeah better regret veto,Yeah better regret veto,Negative,0.5239617
212,2023-03-12,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
213,2023-03-12,,solucionado muchas gracias hearthandsmediumlightskintone,Solved Thank you very much HearthandsmediumlightsKintone,Solved Thank you very much HearthandsmediumlightsKintone,Positive,0.95390606
214,2023-03-12,,puede,can,can,Neutral,0.50119996
215,2023-03-13,,gracias,gracias,gracias,Neutral,0.6270798
216,2023-03-13,,gracias,gracias,gracias,Neutral,0.6270798
217,2023-03-13,,siguen hablando horario laboral personal dhl descuide trabajo significa descuidar mio si van hablar despues 15 hrs 3 pm agradezco vez si lean horario hablen puedo atender telefono,Dhl Personal Occupational Schedule continues to care,Dhl Personal Occupational Schedule continues to care,Neutral,0.8526839
218,2023-03-13,,exacto puntos lealtad solo cambian tiendapor menos santander si tienda tenia tecnologia aiculos hogar mejor cambien mas cashback,Exact loyalty points only change stores less Santander if store had home technology better change more cashback,Exact loyalty points only change stores less Santander if store had home technology better change more cashback,Neutral,0.72007537
219,2023-03-13,,verdaderamente mejor banco sparklingheartsparkles tqm mucho cowboyhatface,Truly better Banco Sparkling Heart Sparkles TQM Much Cowboyhatface,Truly better Banco Sparkling Heart Sparkles TQM Much Cowboyhatface,Positive,0.75828665
220,2023-03-13,,bueno si pude,Well if I could,Well if I could,Neutral,0.6683179
221,2023-03-13,,excelente,great,great,Positive,0.6335219
222,2023-03-13,,excelente,great,great,Positive,0.6335219
223,2023-03-13,,muy bien excelente,Well done! Excellent,Well done! Excellent,Positive,0.9648232
224,2023-03-13,,gane mes spotify usuario grinningfacewithsmilingeyes mejor cambien tarjeta gusta mas blanca negocio beamingfacewithsmilingeyes,GANE MONDE SPOTIFY User GrinningFacewithsMilingeyes Better Card Take White Business Beamingfacewithsmilingeyes,GANE MONDE SPOTIFY User GrinningFacewithsMilingeyes Better Card Take White Business Beamingfacewithsmilingeyes,Neutral,0.84382826
225,2023-03-13,,excelente eh trabajo varios anos perfecto,Excellent huh work several years perfect,Excellent huh work several years perfect,Positive,0.81893283
226,2023-03-14,,super ojala pueda ser corregido app entonces aparecio hace repente graciascc,Super I hope it can be corrected APP so it appears suddenly thankscc,Super I hope it can be corrected APP so it appears suddenly thankscc,Positive,0.5660909
227,2023-03-14,,wooow emocion,wooow emocion,wooow emocion,Positive,0.63512707
228,2023-03-14,,partyingface nunca gano hoy empeze bien thumbsuplightskintone,Partying Face never won today I started well Thumbsup Lightskinmonte,Partying Face never won today I started well Thumbsup Lightskinmonte,Positive,0.51615304
229,2023-03-14,,exitorainbowflagrainbowflag,exitorainbowflagrainbowflag,exitorainbowflagrainbowflag,Neutral,0.84690857
230,2023-03-15,,conteste gracias,Answer thanks,Answer thanks,Positive,0.54090273
231,2023-03-15,,listos,Ready,Ready,Neutral,0.54261196
232,2023-03-15,,gracias conoci use hoy dejo definitivamente mio si recomiendo thumbsup bancos fintech mexicano,Thanks known today I left my definitively if I recommend Thumbsup Banks Fintech Mexican,Thanks known today I left my definitively if I recommend Thumbsup Banks Fintech Mexican,Positive,0.682515
233,2023-03-15,,cambiate heybanco momento mejor probado dan 2 gastas dinero gratis si siempre paga tiempo nunca paga intereses,Change Heybanco better proven moment give 2 you spend free money if you always pay time never pay interest,Change Heybanco better proven moment give 2 you spend free money if you always pay time never pay interest,Neutral,0.51208097
234,2023-03-15,,wwwooowww maravilla felicidades supuesto ahi estare disfrutar chica dorada,wwwooowww Wonder Congratulations assumption there I will be enjoying a golden girl,wwwooowww Wonder Congratulations assumption there I will be enjoying a golden girl,Positive,0.97790104
235,2023-03-15,,verdad agradezco tarjeta debito necesito,I really appreciate debit card I need,I really appreciate debit card I need,Positive,0.898743
236,2023-03-16,,muchas gracias informacion ahi vemos 3 junio,Thank you very much information there we see June 3,Thank you very much information there we see June 3,Positive,0.9602504
237,2023-03-16,,pues bueno xd,Well xD,Well xD,Positive,0.52976125
238,2023-03-16,,dj increible,Incredible DJ,Incredible DJ,Positive,0.75661045
239,2023-03-16,,muchas graciasquedo esperasaludos,Thank you very much,Thank you very much,Positive,0.9714056
240,2023-03-16,,festival 100 tercermundista felicidades,Festival 100 Third Mundista Congratulations,Festival 100 Third Mundista Congratulations,Positive,0.94308233
241,2023-03-16,,supermana hermosa twohearts,supermana hermosa twohearts,supermana hermosa twohearts,Neutral,0.79897547
242,2023-03-17,,gracias seguimiento,Thanks follow -up,Thanks follow -up,Positive,0.7645457
243,2023-03-17,,primera tdc creditcardbeatingheart thx,primera tdc creditcardbeatingheart thx,primera tdc creditcardbeatingheart thx,Neutral,0.57692796
244,2023-03-17,,gracias respuesta,Thanks answer,Thanks answer,Positive,0.5606181
245,2023-03-17,,gracias espero pronta respuesta agradecimiento,Thank you prompt response thanks,Thank you prompt response thanks,Positive,0.96876156
246,2023-03-17,,sorprendido permite organicen cosas facevomiting,Surprised allows you to organize facevomiting things,Surprised allows you to organize facevomiting things,Positive,0.5835275
247,2023-03-18,,gracias siempre super buena rapida atencion pae,thanks always super good rapid attention pae,thanks always super good rapid attention pae,Positive,0.98353475
248,2023-03-19,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
249,2023-03-21,,quiero decirles muchas gracias seguimiento problema token quedo resuelto muy buena atencion final problema pae sino operadora,"I want to tell you, thank you very much problem token, I am solved very good final attention Pae but operator","I want to tell you, thank you very much problem token, I am solved very good final attention Pae but operator",Positive,0.9299133
250,2023-03-22,,gracias,gracias,gracias,Neutral,0.6270798
251,2023-03-22,,hey hagan sufrir mas dinamica tikitoki loudlycryingfacesparklingheart,Hey hagan sufrir more dynamic tikitoki loudlycryingfacesparklingheart,Hey hagan sufrir more dynamic tikitoki loudlycryingfacesparklingheart,Neutral,0.70681477
252,2023-03-23,,tal buen necesito ayuda,Such good I need help,Such good I need help,Positive,0.5663715
253,2023-03-23,,excelente servicio atencion clientes hearthandslightskintone nunca cambien redheart,Excellent service customer hearthandslightone never change Redheart,Excellent service customer hearthandslightone never change Redheart,Positive,0.8946123
254,2023-03-23,,ojito ahi dinamicas hoy gane dinamica abono pal noe etiqueta...,Ojito AHI Dynamics Today Gane Dynamics PAL NOE Label ...,Ojito AHI Dynamics Today Gane Dynamics PAL NOE Label ...,Neutral,0.90971494
255,2023-03-24,,bro gracias ver videos,Bro Thank you watch videos,Bro Thank you watch videos,Positive,0.5513925
256,2023-03-24,,gracias,gracias,gracias,Neutral,0.6270798
257,2023-03-24,,gracias tocayo fan,Thanks Tocayo Fan,Thanks Tocayo Fan,Positive,0.76123965
258,2023-03-24,,permiteme conocer mas caso via mensaje privado poder dae atencion necesaria rapida,Allow me to know more case via private message of necessary attention to fast,Allow me to know more case via private message of necessary attention to fast,Neutral,0.81757444
259,2023-03-24,,ojito ahi dinamicas hoy gane dinamica abono pal noe etiqueta...,Ojito AHI Dynamics Today Gane Dynamics PAL NOE Label ...,Ojito AHI Dynamics Today Gane Dynamics PAL NOE Label ...,Neutral,0.90971494
260,2023-03-24,,facil,easy,easy,Neutral,0.50354546
261,2023-03-25,,gracias,gracias,gracias,Neutral,0.6270798
262,2023-03-25,,ntp despues intentos pudieron asistir gracias,NTP after attempts they could attend thanks,NTP after attempts they could attend thanks,Positive,0.6056154
263,2023-03-26,,si anualidad 999 si juntas 100k libre anualidad mucho mejor pedazo metal visa standard,If annuity 999 if you meet 100K free annuity much better metal piece visa standard,If annuity 999 if you meet 100K free annuity much better metal piece visa standard,Neutral,0.54569805
264,2023-03-26,,exacto todas duales,Exact all dual,Exact all dual,Neutral,0.82606983
265,2023-03-26,,fondeadora metal world elite,Metal World Elite,Metal World Elite,Neutral,0.8761676
266,2023-03-28,,ok gracias,OK thanks,OK thanks,Positive,0.5502417
267,2023-03-28,,gracias dios,Thanks God,Thanks God,Positive,0.84291226
268,2023-03-28,,igual amazon,The same Amazon,The same Amazon,Neutral,0.6565723
269,2023-03-28,,this is the oppounity of lifetime gotta watch this web3 developers mev strategy video and learn how to make some serious cash with crypto,this is the oppounity of lifetime gotta watch this web3 developers mev strategy video and learn how to make some serious cash with crypto,this is the oppounity of lifetime gotta watch this web3 developers mev strategy video and learn how to make some serious cash with crypto,Positive,0.8069783
270,2023-03-28,,hombre merece mandes ademas tan grata felicitacion foto especial unica censura autografiada x diosa tw,man deserves also sending such a pleasant congratulations Special photo Sunning censorship x goddess tw,man deserves also sending such a pleasant congratulations Special photo Sunning censorship x goddess tw,Positive,0.97195405
271,2023-03-28,,dios pague muchos hijos,God pay many children,God pay many children,Neutral,0.62742716
272,2023-03-28,,mandamela hago llegar chido resolvio,Mandamela I get chido resolved,Mandamela I get chido resolved,Neutral,0.7462602
273,2023-03-28,,mando beso tronado apreton nalga angel arguello dos horas resolvio asunto llevaba 59 estancado agradecida abajo pleadingface,TRONADA KISS KISS ANGON NALGA ANGEL ARGUELLO TWO HOURS RESOLVY SUBJECT WAS CARRIED 59 THANKED BELOW PLEADINGFACE,TRONADA KISS KISS ANGON NALGA ANGEL ARGUELLO TWO HOURS RESOLVY SUBJECT WAS CARRIED 59 THANKED BELOW PLEADINGFACE,Neutral,0.84054995
274,2023-03-29,,habia dicho conozco angel muy timido si gustas hago llegar presente,I had said I know Angel very shy if you like I get present,I had said I know Angel very shy if you like I get present,Neutral,0.79575324
275,2023-03-29,,gracias recibi codigo thumbsup,Thanks received Thumbsup code,Thanks received Thumbsup code,Positive,0.9267
276,2023-03-29,,ser agradecida si abajo mejor,Be grateful if below better,Be grateful if below better,Positive,0.8272492
277,2023-03-29,,tambien agradezco mucho personas querido hacer donaciones vestuario duda agradezco aprecio enormemente si ustedes gustan donar pueden hacerlo clabe 058597000024431851 heybanco nombre noris vargas g embargo tambien pueden,I also appreciate a lot of people dear to make costume donations I doubt I appreciate greatly if you like to donate you can do it CLABE 058597000024431851 HEYBANCO NORIS VARGAS G NAME GUE EMBE,I also appreciate a lot of people dear to make costume donations I doubt I appreciate greatly if you like to donate you can do it CLABE 058597000024431851 HEYBANCO NORIS VARGAS G NAME GUE EMBE,Positive,0.95211196
278,2023-03-29,,muy bien,very good,very good,Positive,0.9482112
279,2023-03-29,,ojito ahi dinamicas hoy gane dinamica abono pal noe etiqueta...,Ojito AHI Dynamics Today Gane Dynamics PAL NOE Label ...,Ojito AHI Dynamics Today Gane Dynamics PAL NOE Label ...,Neutral,0.90971494
280,2023-03-29,,amigues primera vez vida gane dinamica jajajajaja gracias gane pastel si dinamica sparkles,First Vez Vez Life Gane Dynamica Jajajajaja Gracias Gane Pastel If Dynamic Sparkles,First Vez Vez Life Gane Dynamica Jajajajaja Gracias Gane Pastel If Dynamic Sparkles,Neutral,0.91512495
281,2023-03-30,,tantas juntas cashback viendo beneficios dan ganas sacar tarjetas amp,So many cashback seeing benefits makes you want to get amp cards,So many cashback seeing benefits makes you want to get amp cards,Positive,0.8017329
282,2023-03-30,,tambien agradezco mucho personas querido hacer donaciones vestuario duda agradezco aprecio...,I also appreciate a lot of people dear to make Donations Duer I doubt I appreciate appreciation ...,I also appreciate a lot of people dear to make Donations Duer I doubt I appreciate appreciation ...,Positive,0.7412049
283,2023-03-31,,gracias supongo semana santa correcto,Thanks I guess correct Holy Week,Thanks I guess correct Holy Week,Positive,0.7864123
284,2023-03-31,,gracias estare pendiente responda,THANK YOU WILL BE PENDING Answer,THANK YOU WILL BE PENDING Answer,Positive,0.7349182
285,2023-03-31,,secreto contesten rapido cuento bebiendo ojala paguen resuelven super rapido,Secret Answer Tale Drinking Hopefully Pay Solve Super Fast,Secret Answer Tale Drinking Hopefully Pay Solve Super Fast,Positive,0.50974923
286,2023-04-01,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
287,2023-04-01,,muchas gracias comunique dieron folio seguimiento respecto situacion espera revuelva posible,Thank you very much communicated folio ongoing situación hopes revolve possible,Thank you very much communicated folio ongoing situación hopes revolve possible,Positive,0.9659661
288,2023-04-03,,gracias tamos readys palnoe lion,Thank you tas readys pal noe lion,Thank you tas readys pal noe lion,Positive,0.8921442
289,2023-04-03,,bueno intento mas tarde muchas gracias maite gusto saludaesmilingface,Well I try later thank you very much taste healthyesmilingface,Well I try later thank you very much taste healthyesmilingface,Positive,0.9461166
290,2023-04-03,,habla numero tarjeta hice ningun problema espana,Speak number card I made any Spain problem,Speak number card I made any Spain problem,Neutral,0.76081103
291,2023-04-03,,this web3 developers mev strategy is gamechanger hes making over 5 eth per week and you need to learn how,this web3 developers mev strategy is gamechanger hes making over 5 eth per week and you need to learn how,this web3 developers mev strategy is gamechanger hes making over 5 eth per week and you need to learn how,Positive,0.58644205
292,2023-04-04,,cuento hice tampoco tenia historial tenia nubank ahi bien posterior heybanco realmente interesaba usar tarjeta vi tenia pagare interesome registre cuenta solicite plastico,I did not have history either,I did not have history either,Negative,0.49476972
293,2023-04-06,,resolvi gracias,I resolved thanks,I resolved thanks,Positive,0.54280305
294,2023-04-06,,gracias darnos aguita morir disenteria agua puerca bebedores nauseatedface,Thanks to give us Aguita dwelling Dissentia Puerca Puerca Drinkers Nauseated Face,Thanks to give us Aguita dwelling Dissentia Puerca Puerca Drinkers Nauseated Face,Neutral,0.4791428
295,2023-04-08,,buenas tardes,Good afternoon,Good afternoon,Positive,0.7834561
296,2023-04-08,,adivinen estoyque buena experiencia,Guess I'm good experience,Guess I'm good experience,Positive,0.78864115
297,2023-04-11,,5 seguramente veremos dando mas noticias innovacion servicios generando mas competencia industria financiera beneficia usuarios bancadigital numexico heybanco innovacion competenciafinanciera fintech,5 We will surely see more news innovation services generating more competition financial industry benefits users Banadigital Number Heybanco Innovation Competence Fintech,5 We will surely see more news innovation services generating more competition financial industry benefits users Banadigital Number Heybanco Innovation Competence Fintech,Positive,0.8896753
298,2023-04-11,,4 gran ventaja experiencia 5 anos mercado ganando terreno jovenes servicios patrocinar festivales musica permite crecer junto clientes,4 great advantage experience 5 years market gaining young people to sponsor music festivals allows growing together customers,4 great advantage experience 5 years market gaining young people to sponsor music festivals allows growing together customers,Positive,0.92685664
299,2023-04-13,,gracias volvi contestar dm,THANK YOU RESPOND DM,THANK YOU RESPOND DM,Positive,0.8624565
300,2023-04-13,,gracias hey banco solucionaron problema,Thanks Hey Banco solved problem,Thanks Hey Banco solved problem,Positive,0.8746574
301,2023-04-14,,muchisimas gracias,thanks a lot,thanks a lot,Positive,0.8673181
302,2023-04-14,,muchas gracias respuesta tan pronta,Thank you very much,Thank you very much,Positive,0.9714056
303,2023-04-14,,gracias pronta devolucion sirvio pagarle,thanks prompt return served to pay you,thanks prompt return served to pay you,Neutral,0.52123344
304,2023-04-15,,muchas gracias mando dm brevedad,Thank you very much DM BRIEFAD,Thank you very much DM BRIEFAD,Positive,0.9780416
305,2023-04-15,,ma gracias tio fantastico descuento 50 checkup,MA Thank you fantastic discount 50 Checkup,MA Thank you fantastic discount 50 Checkup,Positive,0.97660226
306,2023-04-17,,super gracias,Super thanks,Super thanks,Positive,0.89123875
307,2023-04-18,,correcto esperare contacto pae ustedes arreglar situacion inversion hey pro 10,CORRECT WILL WAIT FOR CONTACT YOU,CORRECT WILL WAIT FOR CONTACT YOU,Neutral,0.8244167
308,2023-04-19,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
309,2023-04-19,,excelente muchas gracias sopoe tio hey igual manera quiero agregar error solucionado adicional recibi sms notificaban debido incidencia mostraba 5 trabajando nuevamente gracias peoplehugging,excellent thank you very much Sopoe hey equal way I want to add additional solved error I received SMS,excellent thank you very much Sopoe hey equal way I want to add additional solved error I received SMS,Positive,0.9442537
310,2023-04-19,,muchas gracias voy comunicarme entonces,Thank you very much I will communicate then,Thank you very much I will communicate then,Positive,0.95195043
311,2023-04-19,,estan proceso resolver segun mensajes estan enviando hey banco,These are resolving according to messages are sending hey bank,These are resolving according to messages are sending hey bank,Neutral,0.9036079
312,2023-05-12,,gracias,gracias,gracias,Neutral,0.6270798
313,2023-05-12,,llego gracias,I arrive thanks,I arrive thanks,Positive,0.5671872
314,2023-05-12,,gusto saludae erich ponemos disposicion cuenta correo electronico gusto atenderemos dudas escribenos asesoriacondusef gob mx recuerda condusef apoya,Greeting Erich we put disposition account Email Taste We will meet doubts Writing,Greeting Erich we put disposition account Email Taste We will meet doubts Writing,Neutral,0.87951624
315,2023-05-12,,mejor banco lt3,Best LT3 Bank,Best LT3 Bank,Positive,0.7602131
316,2023-05-12,,productos mas esperados ano youtube unboxing activacion pequena navegacion app tarjeta metalica compao link video tarjetadecredito heybanco,Most expected products anus YouTube Unboxing Activation Small Navigation App APP Metal Card Compao Link Video Cardadecredito Heybanco,Most expected products anus YouTube Unboxing Activation Small Navigation App APP Metal Card Compao Link Video Cardadecredito Heybanco,Neutral,0.8863743
317,2023-05-13,,mejor visto ahora,better seen now,better seen now,Neutral,0.6090178
318,2023-05-15,,excelente muchas gracias,excellent thank you very much,excellent thank you very much,Positive,0.98718506
319,2023-05-15,,muchas gracias respuesta,Thank you very much answer,Thank you very much answer,Positive,0.9585173
320,2023-05-15,,llamar pelear resta tiempo kilos neuronas practicamente resta vida banco pitero,call fighting tense neurons practically subtracts Vida Banco Pitero,call fighting tense neurons practically subtracts Vida Banco Pitero,Neutral,0.64215654
321,2023-05-15,,excelente tarde podrian ayudar mande dm favor muchas gracias foldedhands,Excellent afternoon could help Mande DM PLEASE THANK YOU FOLDED HANDS,Excellent afternoon could help Mande DM PLEASE THANK YOU FOLDED HANDS,Positive,0.945969
322,2023-05-15,,encanta heybanco manda notificacion hace cobro callmehandmediumlightskintone,LOVE HEYBANCO MANDING NOTIFICATION COLLMEHANDEDIUMLIGHTSKINTONE COLLECTION,LOVE HEYBANCO MANDING NOTIFICATION COLLMEHANDEDIUMLIGHTSKINTONE COLLECTION,Positive,0.88522893
323,2023-05-15,,algun tiempo estimado respuesta,Some time estimated response,Some time estimated response,Neutral,0.8599617
324,2023-05-15,,conociendo contrasena usuario puede entrar facilmente dispositivo llegue algun tipo notificacion via sms correo electronico sabes muy bien,"Knowing the user user can easily enter the device, some type of email is notification.","Knowing the user user can easily enter the device, some type of email is notification.",Neutral,0.78564316
325,2023-05-15,,explica,Explain,Explain,Neutral,0.7453343
326,2023-05-16,,si hoy manana tenia nuevo usuario funciono normalidad app,If today's manana tenio usra usa user function is normal APP.,If today's manana tenio usra usa user function is normal APP.,Neutral,0.82267994
327,2023-05-16,,razon,reason,reason,Neutral,0.6699929
328,2023-05-16,,garantia grinningcatwithsmilingeyes creo voy bien cuantos meses puede normales inversion nomina cuenta debitos ahi,Grinningcathwithsmilingeyes GUARANTEE I think I'm going well how many months Normal Investment Nomine,Grinningcathwithsmilingeyes GUARANTEE I think I'm going well how many months Normal Investment Nomine,Positive,0.86348665
329,2023-05-16,,bueno cambie nomina,Well change payroll,Well change payroll,Neutral,0.7680253
330,2023-05-16,,gracias avisar,Thank you warn,Thank you warn,Positive,0.8226909
331,2023-05-16,,buen envie mensaje espero puedan ayudar gracias,good send message I hope you can help thanks,good send message I hope you can help thanks,Positive,0.9499465
332,2023-05-16,,buenos vez mas sigo espera,Good time I'm still waiting,Good time I'm still waiting,Positive,0.6908194
333,2023-05-17,,gracias quedo resuelto,"Thank you, I am resolved","Thank you, I am resolved",Positive,0.89835805
334,2023-05-17,,excelente mitad semana firethinkingfacepara aun duda funciona tarjeta garantizada winkingfacebackhandindexpointingrightmediumlightskintonehttpst cob6iypqxw4f,Excellent half week FirethinkingFace for still doubt works WinkingfaceBackhandindindEndexPoTRightMumlightonehtTPSTPST Cob6iypqxW4F,Excellent half week FirethinkingFace for still doubt works WinkingfaceBackhandindindEndexPoTRightMumlightonehtTPSTPST Cob6iypqxW4F,Positive,0.7895386
335,2023-05-17,,solicito apoyo,I request support,I request support,Neutral,0.64429754
336,2023-05-17,,excelente mitad semana firethinkingfacepara aun duda funciona tarjeta garantizada winkingface...,Excellent Half week FirethinkingFace to still doubt works Winkingface guaranteed card ...,Excellent Half week FirethinkingFace to still doubt works Winkingface guaranteed card ...,Neutral,0.59207386
337,2023-05-18,,quedo muchas gracias,I am thank you very much,I am thank you very much,Positive,0.9746805
338,2023-05-18,,tqm redheartredheart,tqm redheartredheart,tqm redheartredheart,Neutral,0.7521478
339,2023-05-19,,ok gracias,OK thanks,OK thanks,Positive,0.5502417
340,2023-05-19,,siii muchos unamusedface chale,SIII Many unamnedface chale,SIII Many unamnedface chale,Negative,0.7548629
341,2023-05-19,,resuelto gracias equipo,Solved thanks equipment,Solved thanks equipment,Positive,0.7041254
342,2023-05-20,,agradecido ayudaron aclaracion rapidisimo cada mas feliz haber dejado banca tradicional ustedes raisinghands,Grateful helped rapid clarification every happiest to have left traditional banking you Raisinghands,Grateful helped rapid clarification every happiest to have left traditional banking you Raisinghands,Positive,0.78206086
343,2023-05-21,,muchas gracias hearthands,Thank you very much Hearthands,Thank you very much Hearthands,Positive,0.9621008
344,2023-05-21,,buen,good,good,Positive,0.6630251
345,2023-05-22,,gracias,gracias,gracias,Neutral,0.6270798
346,2023-05-22,,listo enviado,ready sent,ready sent,Neutral,0.5810002
347,2023-05-22,,gusta heybanco bajarles mandado bancos espanoles dominan pais,Like Hey Banco Download Sabanoles Banks dominate COUNTRY,Like Hey Banco Download Sabanoles Banks dominate COUNTRY,Neutral,0.761449
348,2023-05-23,,presumiendo 10 anual heybanco klar decide sacar 14... muy tentador,Burning 10 Annual Heybanco Klar decides to get 14 ... very tempting,Burning 10 Annual Heybanco Klar decides to get 14 ... very tempting,Positive,0.6779342
349,2023-05-23,,resuelveme urge hacer compra,Solve me urges purchase,Solve me urges purchase,Neutral,0.85622007
350,2023-05-23,,recomiendo ampliamente usen alternativas llamados bancos tradicionales si bancos estan cobrando alguna comision cualquier tipo cuentas debito peor aun estan generando entonces estan lugar incorrecto,I highly recommend alternatives called traditional banks if banks are charging any commission any worst accounts are still generating then they are an incorrect place,I highly recommend alternatives called traditional banks if banks are charging any commission any worst accounts are still generating then they are an incorrect place,Negative,0.6169986
351,2023-05-24,,gracias,gracias,gracias,Neutral,0.6270798
352,2023-05-24,,si bueno dijeron tenia marcar si quedo,If they said they had to mark if I am,If they said they had to mark if I am,Neutral,0.8334228
353,2023-05-24,,ay si paso afounadamente jejeje,Oh yes it passes hard hehehe,Oh yes it passes hard hehehe,Positive,0.7473076
354,2023-05-25,,gracias respondi,Thanks answered,Thanks answered,Positive,0.7949064
355,2023-05-25,,nel,In the,In the,Neutral,0.6341888
356,2023-05-27,,okay gracias,OK thanks,OK thanks,Positive,0.5502417
357,2023-05-27,,funciono nuevamente aplicacion,It worked again,It worked again,Positive,0.82453656
358,2023-05-27,,contestan tambien,They answer too,They answer too,Neutral,0.7759825
359,2023-05-29,,listo mande gracias,Ready send thanks,Ready send thanks,Neutral,0.50512284
360,2023-05-29,,hey siempre control finanzas ahora tambien movimientos gracias notificaciones qu...,hey always control finance now also movements thanks notifications qu ...,hey always control finance now also movements thanks notifications qu ...,Neutral,0.84542316
361,2023-05-29,,quiero trabajar ustedes ayudan diciendome,I want to work by telling me,I want to work by telling me,Neutral,0.7390251
362,2023-05-30,,gracias,gracias,gracias,Neutral,0.6270798
363,2023-05-30,,hey siempre control finanzas ahora tambien movimientos gracias notificaciones qu...,hey always control finance now also movements thanks notifications qu ...,hey always control finance now also movements thanks notifications qu ...,Neutral,0.84542316
